species,latin_species,family,variety,origin_canada,edible
Ailanthus,Ailanthus altissima,none,Deciduous,Naturalized,Inedible
Alaska paper birch,Betula neoalaskana,paper,Deciduous,Native,Inedible
Alternate leaf dogwood,Cornus alternifolia,leaf,Deciduous,Native,Inedible
American beech,Fagus grandifolia,beech,Deciduous,Native,Inedible
American chestnut,Castanea dentata,chestnut,Deciduous,Native,Edible
American elder,Sambucus canadensis,elder,Deciduous,Native,Edible
American hazel,Corylus americana,hazel,Deciduous,Native,Edible
American holly,Ilex opaca,none,Deciduous,Introduced,Inedible
American mountain ash,Sorbus americana,mountain,Deciduous,Native,Inedible
American plum,Prunus americana,plum,Deciduous,Native,Edible
Amur choke cherry,Prunus maackii,cherry,Deciduous,Introduced,Edible
Amur corktree,Phellodendron amurense,corktree,Deciduous,Introduced,Inedible
Amur maple,Acer ginnala,maple,Deciduous,Introduced,Inedible
Arbutus,Arbutus menziesii,Arbutus,Conifer,Native,Edible
Atlas cedar,Cedrus atlantica,cedar,Conifer,Introduced,Inedible
Austrian pine,Pinus nigra,pine,Conifer,Introduced,Inedible
Bald cypress,Taxodium distichum,cypress,Conifer,Introduced,Inedible
Balsam fir,Abies balsamea,fir,Conifer,Native,Inedible
Balsam poplar,Populus balsamifera,poplar,Deciduous,Native,Inedible
Balsam willow,Salix pyrifolia,willow,Deciduous,Native,Inedible
Basket willow,Salix viminalis,willow,Deciduous,Naturalized,Inedible
Basswood,Tilia americana,Basswood,Deciduous,Native,Inedible
Beaked hazel,Corylus cornuta,hazel,Deciduous,Native,Edible
Bebb willow,Salix bebbiana,willow,Deciduous,Native,Inedible
Bebb's Oak,Quercus bebbiana,none,Deciduous,Native,Edible
Bigleaf maple,Acer macrophyllum,maple,Deciduous,Native,Inedible
Bitter cherry,Prunus emarginata,cherry,Deciduous,Native,Edible
Bitternut hickory,Carya cordiformis,hickory,Deciduous,Native,Edible
Black ash,Fraxinus nigra,ash,Deciduous,Native,Inedible
Black cherry,Prunus serotina,cherry,Deciduous,Native,Edible
Black cottonwood,Populus trichocarpa,cottonwood,Deciduous,Native,Inedible
Black hawthorn,Crataegus douglasii,hawthorn,Deciduous,Native,Edible
Black locust,Robinia pseudoacacia,locust,Deciduous,Naturalized,Inedible
Black maple,Acer nigrum,maple,Deciduous,Native,Inedible
Black oak,Quercus velutina,oak,Deciduous,Native,Edible
Black spruce,Picea mariana,spruce,Conifer,Native,Inedible
Black walnut,Juglans nigra,walnut,Deciduous,Native,Edible
Black willow,Salix nigra,willow,Deciduous,Native,Inedible
Black berry elder,Sambucus melanocarpa,berry,Deciduous,Native,Edible
Black gum,Nyssa sylvatica,gum,Deciduous,Native,Edible
Blue ash,Fraxinus quadrangulata,ash,Deciduous,Native,Inedible
Blue beech,Carpinus caroliniana,beech,Deciduous,Native,Inedible
Blue berry elder,Sambucus cerulea,berry,Deciduous,Native,Edible
Blueleaf birch,Betula xcaerulea,birch,Deciduous,Native,Inedible
Bristlecone pine,Pinus aristata,pine,Conifer,Introduced,Inedible
Bur oak,Quercus macrocarpa,oak,Deciduous,Native,Edible
Burning bush euonymus,Euonymus atropurpureus,bush,Deciduous,Native,Inedible
Butternut,Juglans cinerea,Butternut,Deciduous,Native,Edible
Button bush,Cephalanthus occidentalis,bush,Deciduous,Native,Inedible
Canada plum,Prunus nigra,plum,Deciduous,Native,Edible
